"Highest.Charting.Position","Song.Name","Streams","Artist","Artist.Followers","Genre","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Valence","Chord","Weeks.Charting","Duration.ms"
1,"Beggin'",48633449,"Måneskin",3377762,"['indie rock italiano', 'italian pop']",100,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,0.589,"B",8,211560
2,"STAY (with Justin Bieber)",47248719,"The Kid LAROI",2230022,"['australian hip hop']",99,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,0.478,"C#/Db",3,141806
1,"good 4 u",40162559,"Olivia Rodrigo",6266514,"['pop']",99,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,0.688,"A",11,178147
3,"Bad Habits",37799456,"Ed Sheeran",83293380,"['pop', 'uk pop']",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,0.591,"B",5,231041
5,"INDUSTRY BABY (feat. Jack Harlow)",33948454,"Lil Nas X",5473565,"['lgbtq+ hip hop', 'pop rap']",96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,0.894,"D#/Eb",1,212000
1,"MONTERO (Call Me By Your Name)",30071134,"Lil Nas X",5473565,"['lgbtq+ hip hop', 'pop rap']",97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,0.758,"G#/Ab",18,137876
3,"Kiss Me More (feat. SZA)",29356736,"Doja Cat",8640063,"['dance pop', 'pop']",94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,0.742,"G#/Ab",16,208867
2,"Todo De Ti",26951613,"Rauw Alejandro",6080597,"['puerto rican pop', 'trap latino']",95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,0.342,"D#/Eb",10,199604
3,"Yonaguni",25030128,"Bad Bunny",36142273,"['latin', 'reggaeton', 'trap latino']",96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,0.44,"C#/Db",8,206710
8,"I WANNA BE YOUR SLAVE",24551591,"Måneskin",3377762,"['indie rock italiano', 'italian pop']",95,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,0.958,"C#/Db",10,173347
4,"Levitating (feat. DaBaby)",23518010,"Dua Lipa",27142474,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,0.915,"F#/Gb",43,203064
9,"Qué Más Pues?",22405111,"J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",95,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,0.768,"G#/Ab",9,217773
5,"Permission to Dance",22062812,"BTS",37106176,"['k-pop', 'k-pop boy group']",95,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,0.646,"A",3,187585
1,"Peaches (feat. Daniel Caesar & Giveon)",20294457,"Justin Bieber",48504126,"['canadian pop', 'pop', 'post-teen pop']",94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,0.464,"C",19,198082
2,"Butter",19985713,"BTS",37106176,"['k-pop', 'k-pop boy group']",95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,0.695,"G#/Ab",10,164442
